"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free","in","out"
45.3996,5.32344,17.4407,31.3496,0.0350625,0.451469,1.05861e+08,1.52011e+08,2.42422e+06,2.68625e+06,6.7935e+09,2.46104e+07,1.40905e+10,1.22441e+08,0,0,
38.1519,4.22597,23.3114,33.9022,0.0311875,0.377375,9.1572e+07,1.41093e+08,1.91531e+06,2.38411e+06,6.79587e+09,2.48634e+07,1.41022e+10,1.08106e+08,0,0,
38.0927,4.75766,20.7587,35.966,0.039,0.38625,8.82278e+07,1.48204e+08,2.26182e+06,2.38019e+06,6.79832e+09,2.49299e+07,1.41072e+10,1.00657e+08,0,0,
38.0383,4.00972,21.9552,35.564,0.0273438,0.405563,9.15067e+07,1.52323e+08,1.57422e+06,1.42757e+06,6.79842e+09,2.48035e+07,1.41103e+10,9.7534e+07,0,0,
37.3293,3.61091,21.2615,37.3751,0.0507812,0.372625,8.21793e+07,1.52311e+08,1.88532e+06,1.27024e+06,6.79926e+09,2.50268e+07,1.41141e+10,9.26538e+07,0,0,
36.7099,4.97506,23.8978,34.0507,0.039,0.3275,6.95427e+07,1.45607e+08,1.55935e+06,2.0855e+06,6.80215e+09,2.53151e+07,1.41154e+10,8.81976e+07,0,0,
31.3754,4.27803,24.6035,39.3732,0.0273438,0.342594,6.45033e+07,1.31511e+08,1.47392e+06,2.00726e+06,6.80624e+09,2.5598e+07,1.41152e+10,8.40165e+07,0,0,
32.0232,4.13419,25.2272,38.2646,0.0234375,0.327687,7.40229e+07,1.27883e+08,1.37256e+06,1.64229e+06,6.81015e+09,2.58584e+07,1.41179e+10,7.71524e+07,0,0,
30.6694,3.73691,25.9569,39.2317,0.0389063,0.366219,7.89309e+07,1.25574e+08,2.19406e+06,2.33994e+06,6.81344e+09,2.60914e+07,1.41175e+10,7.40927e+07,0,0,
28.9628,3.51491,28.1206,39.0582,0.0078125,0.335469,6.61801e+07,1.21788e+08,1.62033e+06,1.10716e+06,6.81749e+09,2.6283e+07,1.41153e+10,7.20513e+07,0,0,
28.8735,3.92747,26.7127,40.1704,0.0273438,0.288688,5.73358e+07,1.15914e+08,987172,707829,6.81871e+09,2.64785e+07,1.412e+10,6.5938e+07,0,0,
26.552,3.33959,28.2269,41.5615,0.0273438,0.292719,5.11444e+07,1.20721e+08,1.73319e+06,1.18421e+06,6.82118e+09,2.66843e+07,1.41245e+10,5.87615e+07,0,0,
24.44,3.69303,32.0294,39.5296,0.0234062,0.284562,4.44859e+07,1.39244e+08,1.66938e+06,1.58925e+06,6.82352e+09,2.68955e+07,1.4128e+10,5.26213e+07,0,0,
25.1951,3.63847,31.9492,38.8755,0.0155312,0.326344,5.41766e+07,1.28245e+08,999055,1.59782e+06,6.82619e+09,2.66331e+07,1.41287e+10,4.95293e+07,0,0,
23.9633,3.09484,32.4505,40.2533,0.0234375,0.214719,3.35099e+07,1.09411e+08,630401,1.36629e+06,6.82825e+09,2.68698e+07,1.41272e+10,4.87314e+07,0,0,
19.7783,3.26941,35.0131,41.6899,0.0195312,0.230156,2.88992e+07,9.6235e+07,936396,1.67626e+06,6.82906e+09,2.71419e+07,1.41256e+10,4.92552e+07,0,0,
19.4094,3.21053,29.4651,47.6381,0.03125,0.245875,3.41102e+07,1.02377e+08,1.269e+06,740249,6.83163e+09,2.73981e+07,1.41219e+10,5.02058e+07,0,0,
18.1493,3.16528,32.5277,45.8885,0.0234375,0.245812,3.53139e+07,1.11498e+08,2.39298e+06,999903,6.83222e+09,2.76146e+07,1.41198e+10,5.14409e+07,0,0,
17.2942,2.8005,34.1327,45.5854,0.0078125,0.179406,3.09082e+07,9.39087e+07,961491,2.01758e+06,6.83436e+09,2.78666e+07,1.41192e+10,4.96301e+07,0,0,
17.186,2.91187,36.86,42.8354,0.0078125,0.199031,2.79596e+07,8.59871e+07,1.18352e+06,1.82881e+06,6.83574e+09,2.8091e+07,1.4117e+10,5.02051e+07,0,0,
15.4013,2.82594,38.4751,43.0988,0.00390625,0.195156,2.2729e+07,8.0492e+07,1.35814e+06,1.38028e+06,6.83859e+09,2.83464e+07,1.41148e+10,4.93834e+07,0,0,
12.4686,2.41166,43.7488,41.1643,0.015625,0.191125,2.00225e+07,8.50097e+07,1.36174e+06,991876,6.84007e+09,2.86193e+07,1.4113e+10,4.9356e+07,0,0,
12.6118,2.46216,40.9486,43.759,0.0273438,0.19125,2.27812e+07,8.87327e+07,1.86411e+06,659710,6.83957e+09,2.88273e+07,1.41119e+10,5.08204e+07,0,0,
